"clustername","bootstrap","leafname","branchPath","medianOfDistances","sequencesperCluster"
"c7.1",0.99,"84@57_0$0.00762185-133",0.08985235,0.0152437,2
"c7.1",0.99,"122@95_0$0.00762185-133",0.08985235,0.0152437,2
"c7.2",0.998,"13@11_2$0.00943185-161",0.08985235,0.0222637,8
"c7.2",0.998,"150",0.08985235,0.0222637,8
"c7.2",0.998,"107@80_0$0.01647185-217",0.08985235,0.0222637,8
"c7.2",0.998,"160",0.08985235,0.0222637,8
"c7.2",0.998,"4@4_2$0.00702185-162",0.08985235,0.0222637,8
"c7.2",0.998,"158",0.08985235,0.0222637,8
"c7.2",0.998,"8@8_2$0.00028185-159",0.08985235,0.0222637,8
"c7.2",0.998,"15@12_2$0.00264185-163",0.08985235,0.0222637,8
"c7.3",1,"167",0.08985235,0.00118370000000001,2
"c7.3",1,"200",0.08985235,0.00118370000000001,2
"c7.4",0.988,"1@1_1$0.01089185-209",0.08985235,0.0217837,2
"c7.4",0.988,"2@2_1$0.01089185-209",0.08985235,0.0217837,2
"c7.5",0.946,"79@52_0$0.01082185-211",0.08985235,0.0216437,2
"c7.5",0.946,"121@94_0$0.01082185-211",0.08985235,0.0216437,2
"c7.6",0.902,"87@60_0$0.00980185-223",0.08985235,0.0196037,2
"c7.6",0.902,"102@75_0$0.00980185-223",0.08985235,0.0196037,2
"c7.7",0.905,"68@41_0$0.01079185-230",0.08985235,0.0215837,3
"c7.7",0.905,"81@54_0$0.00950185-231",0.08985235,0.0215837,3
"c7.7",0.905,"101@74_0$0.00950185-231",0.08985235,0.0215837,3
"c7.8",0.9999,"240",0.08985235,0.0274237,15
"c7.8",0.9999,"120@93_0$0.01166185-251",0.08985235,0.0274237,15
"c7.8",0.9999,"247",0.08985235,0.0274237,15
"c7.8",0.9999,"64@37_0$0.01166185-251",0.08985235,0.0274237,15
"c7.8",0.9999,"119@92_0$0.01066185-235",0.08985235,0.0274237,15
"c7.8",0.9999,"249",0.08985235,0.0274237,15
"c7.8",0.9999,"92@65_0$0.00534185-238",0.08985235,0.0274237,15
"c7.8",0.9999,"242",0.08985235,0.0274237,15
"c7.8",0.9999,"112@85_0$0.00927185-244",0.08985235,0.0274237,15
"c7.8",0.9999,"124@97_0$0.00221185-248",0.08985235,0.0274237,15
"c7.8",0.9999,"243",0.08985235,0.0274237,15
"c7.8",0.9999,"67@40_0$0.01230185-234",0.08985235,0.0274237,15
"c7.8",0.9999,"83@56_0$0.01230185-234",0.08985235,0.0274237,15
"c7.8",0.9999,"89@62_0$0.01066185-235",0.08985235,0.0274237,15
"c7.8",0.9999,"19@15_3$0.00025185-246",0.08985235,0.0274237,15
