"old_tips","cut_tree.tip.label"
"125@C_0","125@C_0"
"106@79_0","106@79_0"
"78@51_0","78@51_0"
"118@91_0","118@91_0"
"84@57_0","84@57_0"
"122@95_0","122@95_0"
"66@39_0","66@39_0"
"114@87_0","114@87_0"
"116@89_0","116@89_0"
"82@55_0","82@55_0"
"75@48_0","75@48_0$0.01262395-141"
"76@49_0","76@49_0"
"123@96_0","123@96_0$0.03576395-140"
"77@50_0","77@50_0$0.03461395-142"
"74@47_0","74@47_0$0.03461395-142"
"104@77_0","104@77_0"
"108@81_0","108@81_0"
"115@88_0","115@88_0"
"90@63_0","90@63_0"
"12@11_2","12@11_2"
"5@5_2","5@5_2"
"16@13_2","16@13_2"
"14@11_2","14@11_2$0.00574395-153"
"3@3_2","3@3_2"
"10@10_2","10@10_2"
"6@6_2","6@6_2"
"97@70_0","97@70_0"
"8@8_2","8@8_2"
"7@7_2","7@7_2"
"98@71_0","98@71_0"
"15@12_2","15@12_2"
"4@4_2","4@4_2"
"13@11_2","13@11_2"
"69@42_0","69@42_0"
"51@33_5","51@33_5"
"44@29_5","44@29_5"
"30@21_5","30@21_5"
"57@35_5","57@35_5$0.00388395-175"
"49@33_5","49@33_5$0.00447395-178"
"58@35_5","58@35_5$0.00447395-178"
"29@21_5","29@21_5$0.00556395-179"
"32@23_5","32@23_5$0.00556395-179"
"59@35_5","59@35_5"
"36@25_5","36@25_5$0.00702395-180"
"56@35_5","56@35_5$0.00702395-180"
"26@19_5","26@19_5"
"25@19_5","25@19_5"
"46@31_5","46@31_5$0.00678395-183"
"24@19_5","24@19_5$0.00538395-184"
"37@25_5","37@25_5$0.00288395-185"
"52@33_5","52@33_5$0.00288395-185"
"27@19_5","27@19_5"
"61@35_5","61@35_5"
"40@25_5","40@25_5"
"60@35_5","60@35_5"
"47@31_5","47@31_5"
"38@25_5","38@25_5"
"42@27_5","42@27_5"
"54@33_5","54@33_5"
"53@33_5","53@33_5"
"39@25_5","39@25_5"
"62@35_5","62@35_5"
"50@33_5","50@33_5"
"28@20_5","28@20_5"
"48@32_5","48@32_5"
"43@28_5","43@28_5"
"31@22_5","31@22_5"
"45@30_5","45@30_5"
"33@24_5","33@24_5"
"41@26_5","41@26_5"
"55@34_5","55@34_5"
"35@24_5","35@24_5"
"34@24_5","34@24_5"
"71@44_0","71@44_0"
"80@53_0","80@53_0"
"85@58_0","85@58_0"
"1@1_1","1@1_1"
"2@2_1","2@2_1"
"86@59_0","86@59_0"
"79@52_0","79@52_0"
"121@94_0","121@94_0"
"88@61_0","88@61_0"
"65@38_0","65@38_0"
"73@46_0","73@46_0"
"111@84_0","111@84_0"
"107@80_0","107@80_0"
"103@76_0","103@76_0"
"109@82_0","109@82_0"
"63@36_0","63@36_0$0.03410395-222"
"110@83_0","110@83_0"
"87@60_0","87@60_0"
"102@75_0","102@75_0$0.03547395-223"
"93@66_0","93@66_0"
"94@67_0","94@67_0"
"91@64_0","91@64_0"
"117@90_0","117@90_0"
"70@43_0","70@43_0"
"72@45_0","72@45_0"
"68@41_0","68@41_0"
"81@54_0","81@54_0"
"101@74_0","101@74_0$0.03517395-231"
"83@56_0","83@56_0"
"67@40_0","67@40_0"
"89@62_0","89@62_0$0.03633395-235"
"119@92_0","119@92_0"
"92@65_0","92@65_0$0.03101395-238"
"22@17_4","22@17_4"
"95@68_0","95@68_0"
"112@85_0","112@85_0"
"19@15_3","19@15_3"
"20@15_3","20@15_3"
"113@86_0","113@86_0"
"124@97_0","124@97_0"
"17@14_3","17@14_3"
"100@73_0","100@73_0"
"18@14_3","18@14_3"
"64@37_0","64@37_0"
"120@93_0","120@93_0"
"126@J_0","126@J_0"
"154","154"
"240","240"
"243","243"
